Canonical name,Expected,Levenstein,,all-MiniLM-L6-v2,,waynedsouza/only_names,,
Christina,Christina,Christina,1,Christina,1.00,Christina,1.00,
Christa,Christina,Christina,0.88,Christina,0.35,Christina,0.99,
Chrissy,Christina,Christina,0.62,Katherine,0.49,Christina,0.98,
Kristina,Christina,Christina,0.82,Christina,0.56,Katherine,0.97,
Krista,Christina,Christina,0.67,Katherine,0.47,Katherine,0.98,
Tina,Christina,Christina,0.46,Christina,0.56,Elizabeth,0.13,
Chris,Christina,Christina,0.71,Katherine,0.55,Christina,0.97,
Cristina,Christina,Christina,0.94,Christina,0.78,Christina,0.99,
Crissy,Christina,Christina,0.53,Jonathan,0.30,Christina,0.98,
Kris,Christina,Katherine,0.46,Jonathan,0.45,Katherine,0.99,
Jonathan,Jonathan,Jonathan,1,Jonathan,1.00,Jonathan,1.00,
Jon,Jonathan,Jonathan,0.55,Jonathan,0.72,Jonathan,0.99,
Johnny,Jonathan,Jonathan,0.57,Jonathan,0.56,Jonathan,0.94,
John,Jonathan,Jonathan,0.67,Michael,0.61,Jonathan,0.93,
Jonny,Jonathan,Jonathan,0.62,Jonathan,0.58,Jonathan,0.96,
Jono,Jonathan,Jonathan,0.5,Jonathan,0.59,Jonathan,0.97,
Johann,Jonathan,Jonathan,0.71,William,0.41,Jonathan,0.97,
Johan,Jonathan,Jonathan,0.77,Elizabeth,0.42,Jonathan,0.97,
Jan,Jonathan,Jonathan,0.55,Benjamin,0.39,Jonathan,0.84,
Jo,Jonathan,Jonathan,0.4,Jonathan,0.55,Jonathan,0.96,
Katherine,Katherine,Katherine,1,Katherine,1.00,Katherine,1.00,
Catherine,Katherine,Katherine,0.89,Katherine,0.71,Christina,0.97,
Kathryn,Katherine,Katherine,0.75,Katherine,0.73,Katherine,1.00,
Katie,Katherine,Katherine,0.71,Katherine,0.56,Katherine,0.70,
Kate,Katherine,Katherine,0.62,Katherine,0.65,Katherine,0.94,
Kathy,Katherine,Katherine,0.57,Katherine,0.57,Katherine,1.00,
Kat,Katherine,Katherine,0.5,Katherine,0.71,Katherine,0.67,
Katy,Katherine,Katherine,0.46,Katherine,0.66,Katherine,0.84,
Cathy,Katherine,Jonathan,0.46,Elizabeth,0.49,Christina,0.98,
Caitlin,Katherine,Christina,0.62,Katherine,0.48,Christina,0.94,
Michael,Michael,Michael,1,Michael,1.00,Michael,1.00,
Mike,Michael,Michael,0.55,Michael,0.73,Michael,1.00,
Mikey,Michael,Michael,0.5,Michael,0.61,Michael,0.99,
Mick,Michael,Michael,0.55,Michael,0.37,Michael,1.00,
Micky,Michael,Michael,0.5,Michael,0.35,Michael,1.00,
Mikhail,Michael,Michael,0.71,William,0.46,Michael,1.00,
Miguel,Michael,Michael,0.62,Jonathan,0.42,Michael,0.99,
Michel,Michael,Michael,0.92,Benjamin,0.47,Michael,1.00,
Micheal,Michael,Michael,0.86,Michael,0.55,Michael,1.00,
Misha,Michael,Michael,0.67,Victoria,0.30,Michael,0.96,
Elizabeth,Elizabeth,Elizabeth,1,Elizabeth,1.00,Elizabeth,1.00,
Liz,Elizabeth,Elizabeth,0.33,Elizabeth,0.76,Jonathan,0.16,
Lizzie,Elizabeth,Elizabeth,0.4,Elizabeth,0.67,Jonathan,0.16,
Beth,Elizabeth,Elizabeth,0.46,Benjamin,0.44,Benjamin,0.99,
Eliza,Elizabeth,Elizabeth,0.71,Elizabeth,0.53,Elizabeth,0.96,
Liza,Elizabeth,Elizabeth,0.46,Christina,0.52,Jonathan,0.17,
Betsy,Elizabeth,Benjamin,0.31,Christina,0.51,Benjamin,0.99,
Bess,Elizabeth,Benjamin,0.33,Alexander,0.25,Benjamin,0.99,-
Ellie,Elizabeth,Elizabeth,0.57,Isabella,0.48,Elizabeth,0.96,
